accuracy : 0.5, loss : 0.11521010100841522, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 
accuracy : 0.5450499687695193, loss : 0.043870434165000916, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5484273956496181, loss : 0.009342373348772526, index : 1700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5494863964464188, loss : 0.015151945874094963, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5520778537611781, loss : 0.0956440269947052, index : 1900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5542853573213391, loss : 0.02497871406376362, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5558067586863398, loss : 0.03648587316274643, index : 2100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5567923671058609, loss : 0.0073068998754024506, index : 2200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5580725771403735, loss : 0.06012367829680443, index : 2300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5593502707205331, loss : 0.012982279993593693, index : 2400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5595261895241903, loss : 0.04290957376360893, index : 2500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5626682045367164, loss : 0.15790392458438873, index : 2600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5629396519807472, loss : 0.119709312915802, index : 2700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5639950017850763, loss : 0.02015535533428192, index : 2800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5648483281627023, loss : 0.022513628005981445, index : 2900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5656447850716427, loss : 0.026720013469457626, index : 3000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5661077071912282, loss : 0.007129817269742489, index : 3100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5665026554201809, loss : 0.014069817960262299, index : 3200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5671766131475311, loss : 0.02914879471063614, index : 3300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5672228756248162, loss : 0.0975441187620163, index : 3400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5677306483861756, loss : 0.10719164460897446, index : 3500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5681060816439876, loss : 0.009667269885540009, index : 3600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5690691704944607, loss : 0.01602872833609581, index : 3700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5703104446198366, loss : 0.06183493882417679, index : 3800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5709113047936424, loss : 0.07389578968286514, index : 3900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5718570357410645, loss : 0.11023755371570587, index : 4000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5729395269446474, loss : 0.024294879287481308, index : 4100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5740895024994049, loss : 0.05744268000125885, index : 4200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5744884910485935, loss : 0.04718533530831337, index : 4300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.57503976369007, loss : 0.06653251498937607, index : 4400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5758998000444339, loss : 0.01376571785658598, index : 4500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5765594435992173, loss : 0.05935096740722656, index : 4600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5770580727504786, loss : 0.12315040081739426, index : 4700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5770672776504892, loss : 0.01630878634750843, index : 4800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5775862068965515, loss : 0.12482912838459015, index : 4900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5778094381123778, loss : 0.0062021249905228615, index : 5000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.577827876886885, loss : 0.0795019119977951, index : 5100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5780378773312825, loss : 0.09490758180618286, index : 5200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5780748915299003, loss : 0.04712613299489021, index : 5300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5785271246065546, loss : 0.2133309692144394, index : 5400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5786447918560266, loss : 0.06521083414554596, index : 5500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5788698446705947, loss : 0.13954046368598938, index : 5600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5790650763024031, loss : 0.11837639659643173, index : 5700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5795767971039474, loss : 0.002711998298764229, index : 5800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5801347229283169, loss : 0.03092944622039795, index : 5900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5803199466755533, loss : 0.08672177791595459, index : 6000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5812161940665459, loss : 0.06215321272611618, index : 6100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5818617964844373, loss : 0.031339872628450394, index : 6200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5821694969052524, loss : 0.021154357120394707, index : 6300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5824675831901259, loss : 0.04118721932172775, index : 6400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5830449161667424, loss : 0.09302810579538345, index : 6500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5834532646568701, loss : 0.03413878381252289, index : 6600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.58327115355917, loss : 0.01596406102180481, index : 6700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5839031024849284, loss : 0.07451901584863663, index : 6800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5847159831908413, loss : 0.12457960844039917, index : 6900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5852378231681186, loss : 0.0031087452080100775, index : 7000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5854281087170818, loss : 0.19717586040496826, index : 7100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5855610331898345, loss : 0.01634121872484684, index : 7200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5864778797425008, loss : 0.02406783029437065, index : 7300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5864748007026075, loss : 0.06093812733888626, index : 7400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5868717504332753, loss : 0.028180446475744247, index : 7500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5872253650835414, loss : 0.0016252094646915793, index : 7600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5878944292948965, loss : 0.005808931775391102, index : 7700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5878733495705677, loss : 0.0306159108877182, index : 7800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5877736995317047, loss : 0.008915075100958347, index : 7900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5879577552805897, loss : 0.04329000040888786, index : 8000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5884150104925315, loss : 0.02841452695429325, index : 8100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5886477258870867, loss : 0.11140310764312744, index : 8200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.589130827611131, loss : 0.0037097788881510496, index : 8300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5897512200928459, loss : 0.0013116104528307915, index : 8400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5898129631808017, loss : 0.004044650588184595, index : 8500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5905708638530397, loss : 0.014221716672182083, index : 8600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5906935984369608, loss : 0.026850633323192596, index : 8700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5906999204635835, loss : 0.012175310403108597, index : 8800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5909307942927761, loss : 0.00907483696937561, index : 8900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.590989890012221, loss : 0.021312115713953972, index : 9000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5911026260850459, loss : 0.02356213703751564, index : 9100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5914166938376265, loss : 0.04111970216035843, index : 9200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5917643264165149, loss : 0.020441174507141113, index : 9300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5921843420912671, loss : 0.0023794658482074738, index : 9400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5925297337122412, loss : 0.04802166298031807, index : 9500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5927637746068118, loss : 0.1447923481464386, index : 9600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5927481702917222, loss : 0.06894973665475845, index : 9700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5931792674216918, loss : 0.026466870680451393, index : 9800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5934501565498438, loss : 0.07067584991455078, index : 9900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5935656434356565, loss : 0.1723994016647339, index : 10000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5933323433323439, loss : 0.0752418041229248, index : 10100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5936550338202137, loss : 0.04198343679308891, index : 10200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5939471895932434, loss : 0.02040771394968033, index : 10300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5942817998269398, loss : 0.010078219696879387, index : 10400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5943838682030284, loss : 0.004142638761550188, index : 10500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5946255070276383, loss : 0.14450141787528992, index : 10600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.594815905055602, loss : 0.02010379545390606, index : 10700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5951069345430972, loss : 0.028727073222398758, index : 10800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5951403540959534, loss : 0.25586390495300293, index : 10900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.595354967730205, loss : 0.026311755180358887, index : 11000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5957458787496605, loss : 0.10873117297887802, index : 11100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5959512543522885, loss : 0.004243277944624424, index : 11200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5961198124059806, loss : 0.1576257199048996, index : 11300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5962305938075593, loss : 0.02128351852297783, index : 11400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5965459525258658, loss : 0.0025112414732575417, index : 11500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5966403758296688, loss : 0.010987999849021435, index : 11600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5968186479788035, loss : 0.02425246499478817, index : 11700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5965278366240129, loss : 0.045437879860401154, index : 11800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5966935551634303, loss : 0.009156068786978722, index : 11900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5968773435547015, loss : 0.005220938473939896, index : 12000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5968514998760405, loss : 0.021155064925551414, index : 12100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5971846569953254, loss : 0.08359183371067047, index : 12200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5975428826924614, loss : 0.012699506245553493, index : 12300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5977138940408001, loss : 0.037574511021375656, index : 12400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5978421726261876, loss : 0.04364710673689842, index : 12500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5979188159669847, loss : 0.1211075708270073, index : 12600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5980434611447892, loss : 0.0007105210679583251, index : 12700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5982931021013961, loss : 0.012856015004217625, index : 12800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5983741570420873, loss : 0.04248771816492081, index : 12900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5984635797246339, loss : 0.0024670602288097143, index : 13000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5985898023051648, loss : 0.07542940974235535, index : 13100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5986383607302456, loss : 0.04728222265839577, index : 13200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5987143823772625, loss : 0.005822747014462948, index : 13300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5986959928363529, loss : 0.022409092634916306, index : 13400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5989093400488829, loss : 0.04296011105179787, index : 13500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5991011690316861, loss : 0.03722850978374481, index : 13600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5991989635792978, loss : 0.03180054947733879, index : 13700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5993859140641954, loss : 0.12139295786619186, index : 13800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5995701748075649, loss : 0.011717105284333229, index : 13900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5997071637740132, loss : 0.022396311163902283, index : 14000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.599913126728598, loss : 0.16240446269512177, index : 14100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6001425955918569, loss : 0.00964627880603075, index : 14200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6002027830221635, loss : 0.010356495156884193, index : 14300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6005138532046358, loss : 0.0052304938435554504, index : 14400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6006137507758058, loss : 0.059117596596479416, index : 14500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.600832134785286, loss : 0.007991719990968704, index : 14600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6011665873069832, loss : 0.010069449432194233, index : 14700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6014289575028687, loss : 0.002162169199436903, index : 14800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.25, loss : 0.17899572849273682, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6163366336633666, loss : 0.13190069794654846, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6343283582089554, loss : 0.2998237609863281, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6295681063122923, loss : 0.28147608041763306, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6284289276807977, loss : 0.1575475037097931, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6257485029940117, loss : 0.21501286327838898, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6247920133111479, loss : 0.18188515305519104, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6237517831669037, loss : 0.06271400302648544, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.0, loss : 0, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.4059405940594063, loss : 0, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.512437810945275, loss : 0, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 4.0, loss : 0, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.7821782178217815, loss : 0, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.686567164179105, loss : 0, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.6378737541528254, loss : 0, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.6359102244389043, loss : 0, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.6087824351297417, loss : 0, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.584026622296175, loss : 0, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 0, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7103960396039604, loss : 0, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6902985074626866, loss : 0, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6810631229235882, loss : 0, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.682044887780549, loss : 0, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6846307385229543, loss : 0, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5148514851485151, loss : 0, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5435323383084576, loss : 0, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5307308970099665, loss : 0, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5255610972568574, loss : 0, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.375, loss : 0.08686559647321701, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.625, loss : 0.019245557487010956, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6051980198019801, loss : 0.18658491969108582, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6162935323383084, loss : 0.1136385053396225, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6245847176079735, loss : 0.009922672994434834, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6271820448877807, loss : 0.21384161710739136, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6207584830339322, loss : 0.01843382604420185, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6204242928452579, loss : 0.00021758976799901575, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6242867332382317, loss : 0.08999646455049515, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6243757802746565, loss : 0.045731011778116226, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6223640399556046, loss : 0.08519989997148514, index : 900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6251248751248749, loss : 0.009625459089875221, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6274977293369662, loss : 0.002538656583055854, index : 1100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6282264779350542, loss : 0.003039692062884569, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6291314373558797, loss : 0.0006620429339818656, index : 1300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6286581013561737, loss : 0.02144729346036911, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6303297801465682, loss : 0.01294275838881731, index : 1500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.630074953154278, loss : 0.31920433044433594, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6312463256907695, loss : 0.2036227285861969, index : 1700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6308300943920039, loss : 0.19778555631637573, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6323645449763278, loss : 0.011882441118359566, index : 1900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6324962518740626, loss : 0.004907629452645779, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6330318895763919, loss : 0.004847295582294464, index : 2100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.633746024534302, loss : 0.05472956597805023, index : 2200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6340721425467183, loss : 0.00882224552333355, index : 2300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6344231570179089, loss : 0.014541725628077984, index : 2400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6345461815273887, loss : 0.007888383232057095, index : 2500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6350442137639368, loss : 0.008323265239596367, index : 2600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6349500185116626, loss : 0.001281580189242959, index : 2700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6349964298464839, loss : 0.0032260313164442778, index : 2800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353412616339192, loss : 0.0050917319022119045, index : 2900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6349966677774079, loss : 0.02151799574494362, index : 3000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6340696549500165, loss : 0.053723473101854324, index : 3100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.634957825679475, loss : 0.0017940683756023645, index : 3200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6356785822478034, loss : 0.003407679731026292, index : 3300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6351073213760656, loss : 0.028873475268483162, index : 3400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6358897457869178, loss : 0.009996515698730946, index : 3500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6351707858928073, loss : 0.02946789190173149, index : 3600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.635199945960551, loss : 0.011828349903225899, index : 3700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6350631412786106, loss : 0.0005383070674724877, index : 3800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

