accuracy : 0.5152743142144637, loss : 0.10137051343917847, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 
accuracy : 0.5605432780847122, loss : 0.07875362038612366, index : 3800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.561578355411145, loss : 0.0024987144861370325, index : 4000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5638240895024973, loss : 0.014653587713837624, index : 4200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5651272438082238, loss : 0.011680296622216702, index : 4400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5676483373179719, loss : 0.0014950425829738379, index : 4600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5699854197042266, loss : 0.0014963092980906367, index : 4800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5708608278344313, loss : 0.0010155078489333391, index : 5000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5713324360699847, loss : 0.016812266781926155, index : 5200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5724402888353997, loss : 0.06103917583823204, index : 5400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.573089626852347, loss : 0.06734049320220947, index : 5600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5746853990691247, loss : 0.03389143943786621, index : 5800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.575320779870021, loss : 0.03272232785820961, index : 6000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5759353330108048, loss : 0.15961697697639465, index : 6200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5763162005936591, loss : 0.04602671414613724, index : 6400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5763331313437375, loss : 0.1651967614889145, index : 6600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.577139391265993, loss : 0.01183152012526989, index : 6800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5774175117840342, loss : 0.2059234380722046, index : 7000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5782530204138352, loss : 0.06908930838108063, index : 7200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5790602621267433, loss : 0.029039708897471428, index : 7400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.579775687409555, loss : 0.030889594927430153, index : 7600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5811754903217571, loss : 0.07829530537128448, index : 7800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5816929133858302, loss : 0.3489215672016144, index : 8000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5818040482867977, loss : 0.047613758593797684, index : 8200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5828919176288571, loss : 0.03463191166520119, index : 8400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5834641320776685, loss : 0.0033964940812438726, index : 8600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5834422224747221, loss : 0.202964186668396, index : 8800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5841712031996485, loss : 0.06760621815919876, index : 9000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5852624714704961, loss : 0.13485662639141083, index : 9200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5860147856611038, loss : 0.012728028930723667, index : 9400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5864883866263959, loss : 0.001706317183561623, index : 9600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5871849811243786, loss : 0.09600339084863663, index : 9800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5881411858814154, loss : 0.0060152318328619, index : 10000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5885207332614488, loss : 0.10095474869012833, index : 10200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5891380636477301, loss : 0.21752524375915527, index : 10400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5896259786812608, loss : 0.03326408565044403, index : 10600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5903041385056988, loss : 0.02833743207156658, index : 10800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5907076629397384, loss : 0.1743079274892807, index : 11000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5914538880457171, loss : 0.09520227462053299, index : 11200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.625, loss : 0.03191932663321495, index : 0, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6281094527363185, loss : 0.0007271867361851037, index : 200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6405860349127185, loss : 0.01663414016366005, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6505823627287856, loss : 0.0029798790346831083, index : 600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6484082397003749, loss : 0.0005927483434788883, index : 800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6520979020979023, loss : 0.0003649625286925584, index : 1000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6498751040799334, loss : 0.0034913010895252228, index : 1200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6480192719486084, loss : 0.00844004936516285, index : 1400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6492816989381638, loss : 0.0010482390644028783, index : 1600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6503331482509718, loss : 0.03566274791955948, index : 1800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6490504747626188, loss : 0.000698382908012718, index : 2000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.648341662880509, loss : 0.00034225606941618025, index : 2200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6487401082882126, loss : 0.013207094743847847, index : 2400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6472991157247204, loss : 0.017608460038900375, index : 2600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6464655480185643, loss : 0.007515554782003164, index : 2800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6447850716427853, loss : 0.05073489993810654, index : 3000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.645032802249297, loss : 0.0997169017791748, index : 3200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6445530726256983, loss : 0.046508703380823135, index : 3400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6450291585670647, loss : 8.006722782738507e-05, index : 3600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6449947382267824, loss : 0.00019106708350591362, index : 3800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6451824543864034, loss : 0.028289616107940674, index : 4000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6456498452749345, loss : 0.12792843580245972, index : 4200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6452510793001592, loss : 0.0040352544747292995, index : 4400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6451043251467077, loss : 0.04182898998260498, index : 4600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6445271818371168, loss : 0.0012416087556630373, index : 4800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6435462907418509, loss : 0.003303212346509099, index : 5000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6444433762737927, loss : 0.17487339675426483, index : 5200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6441168302166262, loss : 0.0038117754738777876, index : 5400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6443045884663442, loss : 0.012093587778508663, index : 5600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6445009481123934, loss : 0.0012932481477037072, index : 5800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6444967505415748, loss : 0.07297845929861069, index : 6000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6443114013868718, loss : 0.0004890952841378748, index : 6200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6445477269176674, loss : 0.003447093768045306, index : 6400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6439554612937417, loss : 0.0011595007963478565, index : 6600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6441148360535199, loss : 0.15006932616233826, index : 6800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6438008855877716, loss : 0.34297439455986023, index : 7000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6435738091931661, loss : 0.00017926278815139085, index : 7200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6433927847588149, loss : 0.12047705054283142, index : 7400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6432048414682264, loss : 0.08561905473470688, index : 7600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6430265350596064, loss : 0.0008752218564040959, index : 7800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6432945881764766, loss : 0.038531482219696045, index : 8000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6434428728203865, loss : 0.023011712357401848, index : 8200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6435097012260433, loss : 0.00045508932089433074, index : 8400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6437623532147412, loss : 0.33374857902526855, index : 8600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6436910578343353, loss : 0.024894706904888153, index : 8800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6438173536273736, loss : 0.004735296126455069, index : 9000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6438566460167356, loss : 0.00023709356901235878, index : 9200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6436017444952655, loss : 0.01657957024872303, index : 9400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6439042808040818, loss : 0.07638416439294815, index : 9600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.644117947148249, loss : 0.005753044970333576, index : 9800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6444855514448541, loss : 0.00816159788519144, index : 10000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6447529653955484, loss : 0.031144551932811737, index : 10200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6446976252283425, loss : 0.0518718920648098, index : 10400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6446207904914623, loss : 0.12052187323570251, index : 10600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6446046662346064, loss : 0.0003043912583962083, index : 10800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6445323152440673, loss : 0.00020656657579820603, index : 11000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6444737077046682, loss : 0.06832922250032425, index : 11200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.625, loss : 0.0009439000859856606, index : 0, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6834577114427862, loss : 0.16539537906646729, index : 200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.68640897755611, loss : 0.396926611661911, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6853161397670555, loss : 0.0007659369730390608, index : 600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6838327091136079, loss : 0.009585721418261528, index : 800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6826923076923077, loss : 0.004000670276582241, index : 1000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6843255620316397, loss : 6.45088657620363e-05, index : 1200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6823697359029255, loss : 0.01574775017797947, index : 1400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6805902560899426, loss : 0.03516753390431404, index : 1600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6793448084397546, loss : 0.013151276856660843, index : 1800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.680159920039979, loss : 0.01603335328400135, index : 2000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6811108587005901, loss : 0.0006407127948477864, index : 2200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6793002915451889, loss : 0.0006275780033320189, index : 2400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6790176855055737, loss : 0.2498387098312378, index : 2600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6796233488039972, loss : 3.011142325703986e-05, index : 2800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6786904365211586, loss : 0.000377935211872682, index : 3000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6803342705404556, loss : 0.0008995112148113549, index : 3200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6798368127021459, loss : 0.0005493296193890274, index : 3400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.680713690641488, loss : 0.00040188146522268653, index : 3600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6803143909497495, loss : 0.0006368710892274976, index : 3800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.68045488627843, loss : 0.0007871310226619244, index : 4000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6801951916210422, loss : 0.0017137647373601794, index : 4200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6806975687343781, loss : 2.756745288934326e-06, index : 4400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6801510541186694, loss : 0.012967600487172604, index : 4600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6792334930222864, loss : 0.0006339280516840518, index : 4800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6785392921415714, loss : 4.824436837225221e-05, index : 5000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.678691597769659, loss : 0.0236948374658823, index : 5200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6784623217922597, loss : 0.003299991600215435, index : 5400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6799009105516856, loss : 0.0002493885695002973, index : 5600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.679473366660918, loss : 0.13546207547187805, index : 5800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6792409598400238, loss : 0.03559364378452301, index : 6000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6792654410578912, loss : 0.0005773505545221269, index : 6200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6793079206373979, loss : 0.02539794333279133, index : 6400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6791395243144953, loss : 0.016559580340981483, index : 6600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.679201588001762, loss : 0.00041905921534635127, index : 6800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6789030138551612, loss : 0.001612114137969911, index : 7000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6788293292598228, loss : 0.005554100964218378, index : 7200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6792156465342499, loss : 8.163286111084744e-05, index : 7400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6791376134719095, loss : 8.791715799816302e-07, index : 7600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6789353928983443, loss : 0.000388345739338547, index : 7800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6787120359954986, loss : 0.003393699647858739, index : 8000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.375, loss : 0.10901954025030136, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5242537313432837, loss : 0.10451866686344147, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5249376558603488, loss : 0.1502160280942917, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5274542429284518, loss : 0.09989457577466965, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5299625468164783, loss : 0.03791240602731705, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5314685314685306, loss : 0.05987667292356491, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5346586178184833, loss : 0.06279020011425018, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5371163454675222, loss : 0.08299871534109116, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5414584634603357, loss : 0.024246875196695328, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5427540255413649, loss : 0.08143516629934311, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5479135432283851, loss : 0.0413329042494297, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5529872785097677, loss : 0.05448384955525398, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.556330695543523, loss : 0.05925754830241203, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5590638216070737, loss : 0.03551506996154785, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5621206711888604, loss : 0.020526129752397537, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5644368543818727, loss : 0.07002556324005127, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5688456732271177, loss : 0.025531264021992683, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5697221405468995, loss : 0.01721419207751751, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5705706748125531, loss : 0.051407650113105774, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5727111286503561, loss : 0.33152252435684204, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5739190202449397, loss : 0.008527434431016445, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5753392049512029, loss : 0.06349320709705353, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5763746875710072, loss : 0.0792597085237503, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5772658117800483, loss : 0.05029009282588959, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5775619662570306, loss : 0.009573382325470448, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5784843031393729, loss : 0.015457089059054852, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5792395693135943, loss : 0.07396535575389862, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.580772079244585, loss : 0.01938788779079914, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5819942867345117, loss : 0.002242374699562788, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5824857783140841, loss : 0.15474608540534973, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5835902349608398, loss : 0.09223547577857971, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5842001290114504, loss : 0.02130942977964878, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5846937978440875, loss : 0.004549746867269278, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.585024996212695, loss : 0.016365861520171165, index : 6600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5856675488898695, loss : 0.11675302684307098, index : 6800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.586559062991001, loss : 0.010604252107441425, index : 7000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5873142619080681, loss : 0.07252054661512375, index : 7200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5879610863396836, loss : 0.1317790299654007, index : 7400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5884094198131823, loss : 0.10283465683460236, index : 7600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5893154723753362, loss : 0.032460860908031464, index : 7800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5904886889138855, loss : 0.0031842412427067757, index : 8000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.591101694915254, loss : 0.018449869006872177, index : 8200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5915218426377808, loss : 0.019800446927547455, index : 8400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5920677828159507, loss : 0.010850364342331886, index : 8600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5926883308714913, loss : 0.017117856070399284, index : 8800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5930452171980883, loss : 0.006404660176485777, index : 9000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5935903706118895, loss : 0.007875058799982071, index : 9200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5940591426443996, loss : 0.04457961395382881, index : 9400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.594417248203312, loss : 0.00326292566023767, index : 9600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5949137843077232, loss : 0.006296804640442133, index : 9800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5953654634536543, loss : 0.07316141575574875, index : 10000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5955175963140864, loss : 0.003949930425733328, index : 10200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5957359869243333, loss : 0.01448505837470293, index : 10400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5958282237524746, loss : 0.011738643981516361, index : 10600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5959864827330786, loss : 0.05504409596323967, index : 10800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5963094264157791, loss : 0.01845163106918335, index : 11000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

